,Polylines,X,Y
347,17,115.0,412.0
348,17,116.0,412.0
349,17,117.0,412.0
350,17,118.0,412.0
351,18,207.0,261.0
352,18,208.0,260.0
353,18,209.0,259.0
354,18,210.0,259.0
355,18,211.0,259.0
356,18,212.0,258.0
357,18,212.0,258.0
358,18,213.0,257.0
359,18,214.0,256.0
360,18,215.0,256.0
361,18,216.0,255.0
362,19,196.0,67.0
363,19,197.0,67.0
364,19,198.0,68.0
365,19,199.0,68.0
366,19,200.0,68.0
367,19,201.0,69.0
368,19,201.0,69.0
369,19,202.0,70.0
370,19,203.0,71.0
371,19,204.0,71.0
372,19,205.0,71.0
373,19,206.0,71.0
374,19,207.0,71.0
375,19,208.0,71.0
376,19,209.0,71.0
377,19,210.0,72.0
378,19,211.0,72.0
379,19,212.0,72.0
380,20,2.0,0.0
381,20,3.0,0.0
382,20,4.0,0.0
383,20,5.0,0.0
384,21,400.0,257.0
385,21,401.0,256.0
386,21,402.0,256.0
387,21,403.0,255.0
388,21,404.0,255.0
389,21,404.0,254.0
390,21,405.0,253.0
391,21,405.0,253.0
392,21,406.0,252.0
393,21,407.0,252.0
394,21,408.0,252.0
395,21,409.0,251.0
396,21,410.0,251.0
397,21,411.0,251.0
398,21,412.0,250.0
399,21,413.0,250.0
400,21,414.0,250.0
401,21,415.0,249.0
402,21,416.0,249.0
403,21,417.0,248.0
404,21,417.0,248.0
405,21,418.0,247.0
406,21,419.0,246.0
407,21,419.0,245.0
408,21,419.0,244.0
409,21,419.0,243.0
410,21,420.0,242.0
411,21,420.0,241.0
412,21,420.0,240.0
413,22,78.0,53.0
414,22,79.0,54.0
415,22,79.0,55.0
416,22,79.0,56.0
417,22,80.0,57.0
418,22,81.0,58.0
419,22,82.0,59.0
420,22,83.0,60.0
421,22,83.0,61.0
422,22,84.0,62.0
423,22,84.0,63.0
424,22,84.0,64.0
425,22,85.0,65.0
426,22,85.0,66.0
427,22,86.0,67.0
428,22,86.0,68.0
429,22,86.0,69.0
430,22,86.0,70.0
431,23,322.0,81.0
432,23,322.0,82.0
