,Polylines,X,Y
137,3,163.0,194.0
138,3,162.0,195.0
139,3,162.0,196.0
140,3,162.0,197.0
141,3,162.0,198.0
142,3,162.0,199.0
143,3,162.0,200.0
144,3,162.0,201.0
145,3,162.0,202.0
146,3,162.0,203.0
147,3,162.0,204.0
148,3,161.0,205.0
149,3,161.0,206.0
150,3,161.0,207.0
151,3,160.0,208.0
152,3,160.0,209.0
153,3,159.0,210.0
154,3,159.0,211.0
155,3,159.0,212.0
156,4,198.0,191.0
157,4,198.0,192.0
158,4,198.0,193.0
159,4,198.0,194.0
160,4,197.0,195.0
161,4,197.0,196.0
162,4,197.0,197.0
163,4,196.0,198.0
164,4,196.0,199.0
165,4,196.0,200.0
166,4,195.0,201.0
167,4,195.0,202.0
168,4,194.0,203.0
169,4,194.0,204.0
170,4,193.0,205.0
171,4,193.0,206.0
172,4,193.0,207.0
173,4,193.0,208.0
174,4,192.0,209.0
175,4,192.0,210.0
176,4,192.0,211.0
177,4,191.0,212.0
178,4,191.0,213.0
179,4,191.0,214.0
180,4,191.0,215.0
181,4,191.0,216.0
182,4,191.0,217.0
183,4,190.0,218.0
184,4,190.0,219.0
185,5,120.0,98.0
186,5,121.0,99.0
187,5,121.0,100.0
188,5,121.0,101.0
189,5,121.0,102.0
190,5,121.0,103.0
191,5,121.0,104.0
192,5,121.0,105.0
193,5,121.0,106.0
194,5,121.0,107.0
195,6,200.0,67.0
196,6,201.0,67.0
197,6,202.0,68.0
198,6,202.0,69.0
199,6,203.0,70.0
200,7,217.0,29.0
201,7,218.0,29.0
202,7,219.0,29.0
203,7,220.0,29.0
204,7,221.0,30.0
205,8,147.0,26.0
206,8,147.0,26.0
207,8,148.0,25.0
208,8,149.0,25.0
209,8,150.0,24.0
210,8,151.0,23.0
211,8,152.0,22.0
212,8,153.0,21.0
213,8,153.0,20.0
214,8,153.0,19.0
215,8,154.0,18.0
216,8,154.0,17.0
217,8,154.0,17.0
218,8,155.0,16.0
219,8,156.0,15.0
220,8,156.0,14.0
221,8,156.0,13.0
222,8,157.0,12.0
223,8,158.0,11.0
224,8,158.0,10.0
225,8,158.0,9.0
226,8,159.0,8.0
227,8,159.0,7.0
228,8,160.0,6.0
229,9,153.0,222.0
230,9,153.0,223.0
231,9,153.0,224.0
232,9,153.0,225.0
233,9,153.0,226.0
234,9,154.0,227.0
235,9,154.0,228.0
236,9,155.0,229.0
237,9,155.0,229.0
238,10,229.0,198.0
239,10,229.0,199.0
240,10,229.0,200.0
241,10,230.0,201.0
242,10,230.0,202.0
243,10,230.0,203.0
244,10,230.0,204.0
245,10,230.0,205.0
246,10,230.0,206.0
247,10,231.0,207.0
248,10,231.0,208.0
249,10,231.0,209.0
250,10,232.0,210.0
